2026-07-17 18:39:05,611 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:05,612 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:05,612 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:06,114 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:06,115 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:06,115 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:06,620 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:06,620 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:06,620 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:07,127 - bot_main - INFO - [BTC/USDT] Precio WS: 63883.95 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:07,128 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:07,128 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:07,629 - bot_main - INFO - [BTC/USDT] Precio WS: 63883.95 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:07,629 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:07,629 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:08,132 - bot_main - INFO - [BTC/USDT] Precio WS: 63883.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:08,132 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:08,132 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:08,635 - bot_main - INFO - [BTC/USDT] Precio WS: 63883.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:08,635 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:08,635 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:09,139 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:09,139 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:09,139 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:09,641 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:09,641 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:09,641 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:10,144 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:10,145 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:10,145 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:10,654 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:10,654 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:10,654 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:11,169 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:11,170 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:11,170 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:11,679 - bot_main - INFO - [BTC/USDT] Precio WS: 63881.850000000006 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:11,679 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:11,679 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:12,182 - bot_main - INFO - [BTC/USDT] Precio WS: 63880.05 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:12,182 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:12,182 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:12,686 - bot_main - INFO - [BTC/USDT] Precio WS: 63880.05 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:12,686 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:12,686 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:13,196 - bot_main - INFO - [BTC/USDT] Precio WS: 63880.05 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:13,196 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:13,196 - bot_main - INFO - [SOL/USDT] Precio WS: 75.08500000000001 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:13,706 - bot_main - INFO - [BTC/USDT] Precio WS: 63880.05 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:13,706 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
